"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"9","17075","mainRoad",2,8.71989175027129,27269.6434191133,0.22936064543895,0.310670754890064,0.115581231209998,0.63379247329794
"15","17185","lowRisk",0,3.42077838786346,10697.7712022565,0,0.411015767792109,0.123081906960704,1.06201597807036
"21","18009","lowRisk",0,3.57991030892188,11195.4231075943,0,0.397678337074432,0.124951260015011,0.997465435997426
"34","18035","mainRoad",14,36.4422333750481,113965.486957192,0.384169648877387,0.368942900166347,0.218533143884383,0.561387079077051
"50","18067","lowRisk",12,25.079988918167,78432.4363582209,0.478469110937591,0.469295136831102,0.26990758699997,0.728544592737249
"58","18083","lowRisk",2,11.7215585569656,36656.7305327803,0.170625773891774,0.320257496724619,0.143409716606805,0.590919751703386
"96","18159","lowRisk",4,4.99679873746065,15626.4462575912,0.800512530155014,0.682808117300686,0.296489709442352,1.28285075900504
"104","18175","lowRisk",5,9.18005158965084,28708.6973770121,0.544659248498861,0.596186258828449,0.29568567518319,1.02795373398112
"229","24001","mainRoad",0,23.5068489615951,73512.7691315332,0,0.238782447433163,0.0795902282567187,0.540997402646458
"320","34005","nextAirport",142,147.312208387859,460688.218279093,0.963939116479249,0.970428984775559,0.819198802177607,1.1332079583611
"322","34015","nextAirport",72,100.225714773356,313435.026668783,0.718378513566264,0.736355845633427,0.580561173332454,0.909169696777734
"323","34019","nextAirport",66,41.8335567351311,130825.726716708,1.57768081776739,1.56592045698929,1.21646805317733,1.95613832810489
"324","34021","airport",202,119.107496216296,372483.861426461,1.69594699256521,1.70096218809549,1.47576007275132,1.94066574016741
"223","21229","lowRisk",3,3.92713125581304,12281.2842261195,0.763916407316236,0.54028243973678,0.211837983399554,1.08861109699885
"224","21231","lowRisk",3,6.75820717774402,21134.8839145667,0.443904710391172,0.438625545055588,0.172171192359962,0.870819185128457
"511","54001","lowRisk",0,5.48997242492623,17168.7441422476,0,0.417815303298209,0.135266805125514,1.04775003496292
"513","54005","nextAirport",0,7.39751829609063,23134.1961457816,0,0.239282637545575,0.0768527269028234,0.600760290222433
"521","54021","mainRoad",0,3.27769810458221,10250.3174474247,0,0.252704394551315,0.0803023555945805,0.610408261364439
"530","54039","airport",19,58.1181211617824,181752.306755565,0.326920410023408,0.350042092921381,0.226277284190807,0.501420348976972
"533","54045","lowRisk",1,11.1416482047751,34843.1818131194,0.0897533274808851,0.237993519709124,0.0917990959999397,0.47903106412726
"534","54047","lowRisk",0,5.56253626505061,17395.6724232382,0,0.290919064504711,0.0919736067234617,0.733006319294042
"542","54063","lowRisk",0,4.26950343896521,13351.9818469808,0,0.33727118158332,0.103582264478024,0.858468535362555
"544","54067","nextAirport",0,8.04492953169448,25158.8398049067,0,0.279580491463493,0.0905352794648013,0.701597632496257
"554","54087","nextAirport",0,4.51644983007016,14124.2551987525,0,0.296542092492559,0.0964998263216717,0.723530468800164
"564","54107","mainRoad",2,26.9597566888334,84311.0181439661,0.0741846457697591,0.166947692076512,0.0779957148181825,0.29893138381154
"566","55003","lowRisk",0,4.75779372358092,14879.0079073758,0,0.956899006690209,0.0886933610706993,4.81971682541023
"405","39137","lowRisk",0,10.7148307578427,33508.3992359685,0,0.342677350496103,0.109613670892308,0.817061182324446
"424","39175","lowRisk",1,7.00016847860162,21891.5674359426,0.142853704601087,0.262938788529249,0.101491030427456,0.536818595394437
"317","27031","lowRisk",0,1.50911180302542,4719.43252584508,0,0.465270525703514,0.120051101192411,1.25264612811711
"332","36025","mainRoad",8,15.0015947813103,46914.3599622825,0.533276636025841,0.632990113192928,0.336386813885845,1.03194552859787
"335","36105","nextAirport",88,25.2259724579679,78888.9694425113,3.48846809163166,3.35253403944549,2.68716108346718,4.08510745337456
"474","42099","nextAirport",1,14.6765085369588,45897.7205110358,0.0681360963666374,0.197365931351511,0.0829682469218719,0.379183447601473
"476","42103","nextAirport",33,22.1523681213697,69276.9127024875,1.48968272011361,1.51757668128825,1.07156843224861,2.03870192103321
