GEOID,transportType,cases29.Mar,E,pop,SIR,RR,LL,UL
18063,nextAirport,48,63.89167652,199807.8974,0.751271568,0.742434898,0.556165075,0.954567961
18157,mainRoad,11,62.13282426,194307.4537,0.177040077,0.222056959,0.136792177,0.33021761
36007,mainRoad,29,62.10895514,194232.808,0.466921395,0.473995847,0.328801465,0.645434594
39155,mainRoad,36,61.48059678,192267.7482,0.585550595,0.551125528,0.394441317,0.733968259
47165,mainRoad,93,61.22175492,191458.2742,1.519067856,1.465850658,1.181552915,1.777948294
39103,nextAirport,45,60.66206546,189707.9621,0.741814504,0.696771354,0.513631617,0.906952433
42019,nextAirport,47,59.85395681,187180.7708,0.785244661,0.699972941,0.51726997,0.909785584
26145,airport,24,59.19060049,185106.2622,0.405469784,0.432528549,0.295767145,0.5959186
39089,nextAirport,15,59.07877353,184756.5467,0.253898297,0.262607889,0.166030699,0.383571091
18163,airport,17,58.38327977,182581.535,0.291179257,0.340577709,0.219602355,0.488813626
54039,airport,19,58.11812116,181752.3068,0.32692041,0.352171378,0.232660313,0.497917345
18127,nextAirport,14,57.20834795,178907.1807,0.24471953,0.274798556,0.169890612,0.406509383
24013,mainRoad,82,56.82768205,177716.7275,1.442958731,1.3640245,1.081636339,1.67637755
39057,nextAirport,3,55.01327012,172042.5325,0.054532297,0.130343686,0.071502659,0.210927633
42027,mainRoad,22,54.27999987,169749.3826,0.405305823,0.339658328,0.219113701,0.488130711
26121,nextAirport,13,53.87458741,168481.5397,0.241301152,0.245246337,0.146298948,0.371946931
39045,nextAirport,14,53.7811424,168189.3099,0.260314292,0.268051624,0.164322026,0.399370927
42055,mainRoad,11,53.53004012,167404.0399,0.205492093,0.212188106,0.126949857,0.322610531
39133,nextAirport,27,52.93555225,165544.903,0.510054186,0.516913266,0.358106526,0.70553111
21117,nextAirport,16,52.22460344,163321.5588,0.306369009,0.311459325,0.195546353,0.456253589
24043,nextAirport,6,51.6138821,161411.6552,0.116247795,0.169424997,0.096668408,0.266609937
18081,nextAirport,71,51.30130353,160434.1309,1.383980428,1.331380809,1.044903293,1.650463405
21015,airport,3,50.84485579,159006.6857,0.059003019,0.226815646,0.135304102,0.345356438
26075,mainRoad,24,50.11840276,156734.8553,0.478866019,0.487967599,0.33300001,0.673751696
26147,mainRoad,20,49.9660459,156258.391,0.400271817,0.435685109,0.284281661,0.619590924
42007,nextAirport,28,49.19262288,153839.6718,0.569191036,0.536328743,0.369183179,0.735455447
26115,nextAirport,38,49.03694627,153352.8256,0.774925906,0.805624142,0.58653457,1.058428642
18105,lowRisk,22,49.0339642,153343.4998,0.448668599,0.496959413,0.337010254,0.688874185
34037,nextAirport,93,47.87923598,149732.3281,1.942386884,1.952986475,1.58548971,2.355818342
26021,nextAirport,29,46.88284843,146616.3337,0.618563099,0.537915532,0.363557262,0.746562383
42075,nextAirport,19,46.0690134,144071.2344,0.412424721,0.420290105,0.271295312,0.603207002
42107,nextAirport,21,45.549306,142445.9578,0.461038858,0.464597367,0.311417123,0.650582075
54003,mainRoad,10,43.99069122,137571.7151,0.22732082,0.231349286,0.130341929,0.364866955
21227,mainRoad,15,43.45824177,135906.5904,0.345158925,0.361939198,0.226228308,0.531970239
42021,nextAirport,1,42.40807306,132622.4067,0.023580416,0.119933569,0.061905098,0.202891774
34019,nextAirport,66,41.83355674,130825.7267,1.577680818,1.562612888,1.216224355,1.949511241
26025,nextAirport,15,41.832333,130821.8997,0.358574311,0.336056571,0.208853998,0.497034331
39023,nextAirport,7,40.95942948,128092.076,0.170900818,0.211548466,0.118250877,0.33682597
18095,mainRoad,18,40.77114955,127503.2697,0.441488656,0.440741294,0.284354486,0.633820378
36013,mainRoad,5,40.29496614,126014.1054,0.124084978,0.152730342,0.075088005,0.263235975
39173,nextAirport,12,39.75415107,124322.819,0.30185527,0.287576282,0.171873888,0.437398804
18019,nextAirport,20,39.09662674,122266.5488,0.511553084,0.491832137,0.32196603,0.70010598
42051,nextAirport,10,39.08157941,122219.4914,0.255875022,0.290624966,0.174329158,0.441251271
