"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"285","26103","lowRisk",2,21.4474610741772,67072.46288005,0.0932511308953025,0.253826165200296,0.224404882583401,0.285231942159157
"301","26135","lowRisk",0,2.5003922922039,7819.45558145013,0,0.160379134293417,0.141639028479041,0.180422756845883
"307","26147","mainRoad",20,49.9660458999623,156258.391018745,0.400271817386596,0.219525856644587,0.205679852269364,0.233857940687538
"315","26163","airport",2704,499.230179365254,1561238.30034093,5.41633921939174,2.08889553775052,2.0475249280179,2.13066585856595
"9","17075","mainRoad",2,8.71989175027129,27269.6434191133,0.22936064543895,0.434944566217571,0.410104839743738,0.460467249176612
"15","17185","lowRisk",0,3.42077838786346,10697.7712022565,0,0.220955526184123,0.195319472249999,0.248328711869785
"21","18009","lowRisk",0,3.57991030892188,11195.4231075943,0,0.115803038988453,0.102082008066676,0.130520768538192
"34","18035","mainRoad",14,36.4422333750481,113965.486957192,0.384169648877387,0.288175384274811,0.270925766109433,0.305962765600156
"50","18067","lowRisk",12,25.079988918167,78432.4363582209,0.478469110937591,0.313886622462056,0.277464839685004,0.352764515858356
"58","18083","lowRisk",2,11.7215585569656,36656.7305327803,0.170625773891774,0.163640626477883,0.144531882168468,0.184075604187282
"96","18159","lowRisk",4,4.99679873746065,15626.4462575912,0.800512530155014,0.188353963786266,0.166441780846438,0.211766965722509
"104","18175","lowRisk",5,9.18005158965084,28708.6973770121,0.544659248498861,0.111513081280704,0.0982736055487879,0.125719973801859
"229","24001","mainRoad",0,23.5068489615951,73512.7691315332,0,0.286426311186011,0.269262984949353,0.304126088517856
"320","34005","nextAirport",142,147.312208387859,460688.218279093,0.963939116479249,1.24868573342765,1.21671183755948,1.28106132251707
"322","34015","nextAirport",72,100.225714773356,313435.026668783,0.718378513566264,0.841231433651127,0.819723717195619,0.863007300717112
"323","34019","nextAirport",66,41.8335567351311,130825.726716708,1.57768081776739,0.656391463362068,0.6376210515091,0.675434555833454
"324","34021","airport",202,119.107496216296,372483.861426461,1.69594699256521,2.33334162323287,2.28444875216325,2.38276877021162
"223","21229","lowRisk",3,3.92713125581304,12281.2842261195,0.763916407316236,0.375191196362129,0.331512658525853,0.421832566384099
"224","21231","lowRisk",3,6.75820717774402,21134.8839145667,0.443904710391172,0.179133015635402,0.158268703981412,0.201432579641176
"511","54001","lowRisk",0,5.48997242492623,17168.7441422476,0,0.161800212615194,0.14289946250377,0.182014399375943
"513","54005","nextAirport",0,7.39751829609063,23134.1961457816,0,0.155313563048872,0.145251705777728,0.165810385928977
"521","54021","mainRoad",0,3.27769810458221,10250.3174474247,0,0.682537635209035,0.643361522018911,0.722800650895225
"530","54039","airport",19,58.1181211617824,181752.306755565,0.326920410023408,0.39263100959104,0.371758109336527,0.414243334326602
"533","54045","lowRisk",1,11.1416482047751,34843.1818131194,0.0897533274808851,0.108238500844899,0.0953665306354838,0.122055540453223
"534","54047","lowRisk",0,5.56253626505061,17395.6724232382,0,0.250492379005561,0.221455721354323,0.281488309024228
"542","54063","lowRisk",0,4.26950343896521,13351.9818469808,0,0.154433290872053,0.136364909808072,0.173763809481968
"544","54067","nextAirport",0,8.04492953169448,25158.8398049067,0,0.150634349750829,0.140743023078979,0.160960536152602
"554","54087","nextAirport",0,4.51644983007016,14124.2551987525,0,0.158077524888418,0.147916740709648,0.168673255497159
"564","54107","mainRoad",2,26.9597566888334,84311.0181439661,0.0741846457697591,0.131269984470888,0.121881310089004,0.141084011600113
"566","55003","lowRisk",0,4.75779372358092,14879.0079073758,0,0.222913640959747,0.197052953100867,0.250525897891522
"405","39137","lowRisk",0,10.7148307578427,33508.3992359685,0,0.215182398093038,0.190207851926745,0.241851802648875
"424","39175","lowRisk",1,7.00016847860162,21891.5674359426,0.142853704601087,0.307112497689783,0.271484562505377,0.345142439504465
"317","27031","lowRisk",0,1.50911180302542,4719.43252584508,0,0.201681358924323,0.178250478051419,0.226708805451614
"332","36025","mainRoad",8,15.0015947813103,46914.3599622825,0.533276636025841,0.369750596729736,0.348354747128798,0.391757584453963
"335","36105","nextAirport",88,25.2259724579679,78888.9694425113,3.48846809163166,1.27133439627994,1.23856510300306,1.30452065897169
"474","42099","nextAirport",1,14.6765085369588,45897.7205110358,0.0681360963666374,0.230148741144722,0.217806371343078,0.24291073035419
"476","42103","nextAirport",33,22.1523681213697,69276.9127024875,1.48968272011361,0.857764770386925,0.835949963141242,0.879849728660647
"488","42127","mainRoad",7,18.304210241034,57242.6012428366,0.382425677361788,0.247829922921719,0.232583941437706,0.263581847706993
"491","42133","nextAirport",43,153.751906626319,480827.031892693,0.279671328593719,0.78943605722054,0.768806626564642,0.810330462635467
"497","51017","lowRisk",0,1.38893300395304,4343.59838809454,0,0.175415839817582,0.154973183923656,0.197267506246476
"504","51091","lowRisk",0,0.671165142433026,2098.9290502279,0,0.103139783014484,0.0908398432051629,0.116350024359736
"506","51107","airport",61,175.560884462414,549030.063072199,0.347457807510986,2.10052416383875,2.05852672703559,2.14293710916715
"507","51165","mainRoad",4,27.7443085308107,86764.5404567705,0.1441737138829,0.552840359855543,0.521428326777575,0.585100725180943
"517","54013","lowRisk",0,2.37268919208351,7420.09076093044,0,0.105410988151883,0.0928562188392778,0.118891559320605
"519","54017","lowRisk",0,2.82839101007119,8845.20318638906,0,0.131862956893009,0.116337573555441,0.148494830793608
"520","54019","nextAirport",0,13.7975579780307,43148.9858923688,0,0.238349767271715,0.225799161623127,0.251317099788481
"522","54023","lowRisk",0,3.88677508180904,12155.0787058716,0,0.22864133999265,0.202122912206964,0.256953813765452
"524","54027","lowRisk",0,8.81461560264881,27565.8725182348,0,0.128665911308001,0.113500011994462,0.144916409232587
"527","54033","mainRoad",7,21.7185489514467,67920.2336964887,0.322305141823654,0.141300899649189,0.131388085610824,0.15164774373587
"529","54037","nextAirport",5,21.0237405449873,65747.3652674556,0.237826374868965,0.535403493357129,0.518085641907484,0.553019092697228
